user,comment,like_count,time,情感倾向,反馈分类,核心关键词
SPARKLEGOD,什么哈基米！,4907,2026-03-24 12:33:40,未知,未知,
尓叄叄,不死途大招吸人视角,3012,2026-03-24 12:00:59,未知,未知,
名将杀,梭哈也是一种智慧,15,2026-03-27 21:00:29,未知,未知,
陌上人_r,最后一天，终于出了，太难了，过年刷了几十把都没出[doge],186,2026-03-24 17:30:56,未知,未知,
不如吃茶去12,因为喜欢花火想入坑，想问一下花火现在还有获取途径吗？还有是常驻还是限定,0,2026-03-28 03:52:09,未知,未知,
魔女兵器1,看到这条评论的开拓者火花、绯英、虚照、不死途、刃SP、银狼狼尊、真珠不歪,1543,2026-03-24 12:03:41,未知,未知,
Demo_白狼,统一口径，没有危险,1691,2026-03-24 12:23:38,未知,未知,
学废了A,出自【《崩坏：星穹铁道》阿哈爱看 | 寻找阿哈特别节目-哔哩哔哩】 https://b23.tv/GwuyuMJ 02:13,1308,2026-03-24 12:52:57,未知,未知,
INFINITR-LIGHT,笑点解析：哈基米（叽米）,319,2026-03-24 18:59:28,未知,未知,
鲤书沉月,我可以玩崩铁[汤圆]，话说银狼和火花组队火花是速度鞋还是攻击鞋啊，啊哈会不会太慢了，还是说欢愉主堆速度,0,2026-03-28 09:28:08,未知,未知,
叱咤琪宝舰舰宇,省流琪一[吃瓜],6,2026-03-27 22:50:17,未知,未知,
我太正经了怎么办,幻月游戏期间谒者可能会变成火腿肠，所以二相乐园的月亮是不是也叫“肠谒月”（长夜月）[doge],2709,2026-03-24 12:09:47,未知,未知,
本人只是个路过的万叶,"其实不死途参加幻月游戏是为了
图一乐（途一乐）[思考]",642,2026-03-24 14:46:57,未知,未知,
莫贻牛马嘲,世界上最有悬念的两件事：第一件就是说话只说一半[妙啊],769,2026-03-24 12:20:54,未知,未知,
堇安宁,"能不能促成像货币战争那样的直接进入模式啊！
有时候打差分宇宙就是因为要走路，所以说直接放弃了[灵魂出窍]",140,2026-03-24 20:53:00,未知,未知,
有头的净化亲,"2026崩铁纪念册领取条件：
1，剥下碎星王虫的外壳
2，杀死罗睺
3，生擒丰饶玄鹿
4，活捉原始博士
5，一天之内把塔拉克联邦解放
6，赶走雷亚法尔的龙裔
7，驯服顶点星域的星际漂流鱼
8，将仙舟联盟带回启航地
9，夺取寂静领主的糖果色裙
10，重启帝皇权杖系统
11，获得公司手上的神体琥珀
12，将星啸的命途牵引回同谐",679,2026-03-24 23:59:40,未知,未知,
澄-sumi,喜报：《崩坏：星穹铁道纪念册Ⅱ》全书共计192页，由上海音乐出版社出版。,1887,2026-03-24 12:23:00,未知,未知,
初中牲口一只,今年音乐会还办吗？,1,2026-03-27 21:05:19,未知,未知,
天佑duck,全员0命接下来应该给哪一个刷仪器？想长玩[给心心],34,2026-03-24 15:07:44,未知,未知,
陌路清莲,这何尝不是一种“鼓掌”机器人？,205,2026-03-24 17:35:41,未知,未知,
